dat_ref,retorno,retorno_mm3,desvio_relativo,score_confianca_mercado
2018-03-12,-0.1769567750706691,-0.1320770842674833,0.33979922446118804,52.36096901093785
2018-03-09,-0.22915450634497514,-0.14845721121236855,0.5435727538837358,54.05299092403039
2018-03-08,-0.2647829949513625,-0.2236314254556695,0.1840151464036992,51.06742477812634
2018-03-07,-0.2159517519466192,-0.2366297510809862,-0.08738545782981433,48.81386529524855
2018-03-06,-0.07315575644357697,-0.18463016778052013,-0.6037713807932994,44.52608415045161
2018-03-05,0.02658195303275601,-0.08750851845248064,-1.303764176366335,38.71373378054426
2018-03-02,0.07406116580987998,0.009162454133019082,7.083114494727232,100.0
2018-03-01,0.2890601192808262,0.1299010793744868,1.2252326206428656,59.71311486211317
2018-02-28,0.3329368765572438,0.23201938721598273,0.43495283110681937,53.15107157239636
2018-02-27,-0.6441955343275296,-0.007399512829820469,86.05918202227909,100.0
2018-02-26,0.06400989322974393,-0.08241625484684789,-1.7766658816114849,34.78702136465244
2018-02-23,-0.13533566290538923,-0.23850710133439224,-0.43257176768231465,45.94763040190843
2018-02-22,-0.3194066792163386,-0.1302441496306619,1.452368725367641,61.59912659061333
2018-02-21,-0.11803020699002742,-0.19092418303725234,-0.3817954063629653,46.369249030505124
2018-02-20,-0.09628640829812962,-0.17790776483483248,-0.458784677624831,45.72997299491182
2018-02-19,-0.12354062164590118,-0.11261907897802,0.0969777303010333,50.34471454327889
2018-02-16,-0.09825293991218009,-0.10602665661873756,-0.07331851210315021,48.930669379111876
2018-02-15,-0.3367594694391962,-0.18618434366575976,0.8087421466745379,56.254809897058536
2018-02-14,-0.06564107986185563,-0.16688449640441125,-0.6066675977929814,44.50203557730072
2018-02-09,0.0061716693924962485,-0.13207629330285245,-1.0467280632894849,40.848018528001916
2018-02-08,-0.05686401565744292,-0.03877780870893469,0.466406110883234,53.41224209229234
2018-02-07,-0.00838008538865953,-0.01969081055120266,-0.5744164331443584,44.76983128885788
2018-02-06,0.023377986758355007,-0.013955371429249741,-2.675196312536401,27.326125030306464
2018-02-05,-0.011465765869045352,0.001177378500216116,-10.738385631248347,0.0
2018-02-02,0.23992661068379384,0.08394627719103391,1.8580970915220023,64.96806900546873
2018-02-01,0.14035550862370183,0.12293878447948285,0.1416698905716418,50.7158133544719
2018-01-31,0.4059771791615985,0.2620864328230308,0.5490202021854651,54.09822350121096
2018-01-30,-0.31025323490415646,0.0786931509603807,-4.942569729611645,8.499118805668331
2018-01-29,-0.11939564732631469,-0.007890567689624817,14.131439463260184,100.0
2018-01-26,0.16348630143006027,-0.08872086026680422,-2.842704195365318,25.935232851300505
2018-01-24,-0.6037364970997716,-0.18654861433200928,2.236349405551057,68.10886558404681
2018-01-23,-0.23748775039950099,-0.22591264868973804,0.05123706785298188,49.964909553883096
2018-01-22,0.14823008849558228,-0.2309980530012307,-1.6416941033472372,35.907751849712696
2018-01-19,0.19086751938499624,0.03386995249369192,4.635305199218812,88.02845858971699
2018-01-18,-0.13449928781525955,0.0681994400217724,-2.9721465128206503,24.860415929610248
2018-01-17,-0.09935441707659143,-0.014328728502285504,5.933931162192367,98.8115254212571
2018-01-16,-0.16177725128957432,-0.13187698539380902,0.2267284606671709,51.42209235403477
2018-01-15,-0.3687945774357937,-0.20997541526732041,0.7563702729973414,55.81994302233421
2018-01-12,0.05243558865613007,-0.15937874668974658,-1.328999880757021,38.50419054427423
2018-01-11,-0.22251239140861356,-0.179623793396093,0.23876902498070418,51.52207049507316
2018-01-10,-0.13976986935524405,-0.10328222403590977,0.35328097995496344,52.47291400098179
2018-01-09,-0.1105459991709079,-0.15760941997825575,-0.298607918320116,47.059991606650776
2018-01-08,0.07407638792824578,-0.05874649353263598,-2.260949947371641,30.765796165531672
2018-01-05,0.09899268256792215,0.020841023775086082,3.749895381159761,80.67650851814204
2018-01-04,0.15502425595039782,0.10936444214885466,0.41750145572357167,53.00616506934988
2018-01-03,-0.03736172824680972,0.07221840342383616,-1.5173435921525542,36.94028924768534
2018-01-02,-0.41825179648044,-0.10019642292561788,3.1743186459953234,75.89723983037734
2017-12-28,-0.517861531243724,-0.3244916853236585,0.5959161811101328,54.48762159526823
2017-12-27,-0.4244405917914418,-0.4535179731718692,-0.06411516874857792,49.007088817268446
2017-12-26,-0.6152430525798391,-0.5191817252050023,0.18502447738680794,51.07580570054458
2017-12-22,-0.7393220385137345,-0.5930018942950057,0.24674481755691935,51.58829703515164
2017-12-21,0.1504288823453992,-0.4013787362493921,-1.3747803975642894,38.12405462647319
2017-12-20,0.046110931029930136,-0.18092740837946897,-1.2548587383356486,39.119817304011725
2017-12-19,0.24322572990536084,0.14658851442689613,0.6592413863819993,55.01343883598009
2017-12-18,-0.11517223484210914,0.05805480869772669,-2.983853489928373,24.763207710964423
2017-12-15,0.03235832976329345,0.053470608275514454,-0.394838944106212,46.26094275663155
2017-12-14,-0.21231132311869683,-0.0983750760658381,1.1581820478248597,59.15636424384117
2017-12-13,0.18902124434418965,0.003022750329594833,61.532867003119605,100.0
2017-12-12,-0.03645693296936425,-0.019915670581291067,0.8305651733169443,56.43601615772248
2017-12-11,-0.004558778612051562,0.049335177587590685,-1.0924042201724684,40.468749156897296
2017-12-08,0.5548286504944322,0.17127097963767154,2.2394784666274896,68.1348475647473
2017-12-07,-0.3527320868319306,0.06584592835014942,-6.356930878948267,0.0
2017-12-06,0.4267787757181729,0.20962511312689092,1.035914348963685,58.14112135963162
2017-12-05,-0.08426813577135928,-0.003407148961706241,23.732741866724623,100.0
